GRB220527A,FERMI-LAT,2022-05-27<br>09:17:15 UTC,323.52 deg<br>(21h34m04.8s),-14.97 deg<br>(-14d58'12"),2022-05-28<br>00:24:09 UTC (T0 + 15.12h),2022-05-28<br>03:54:09 UTC (T0 + 18.61h),Pointed,Manual,Ruslan Konno
GRB220430A,SWIFT-BAT,2022-04-30<br>13:53:15 UTC,97.61 deg<br>(06h30m26.4s),9.51 deg<br>(+09d30'36"),2022-04-30<br>17:38:00 UTC (T0 + 3.75h),2022-04-30<br>18:08:00 UTC (T0 + 4.25h),Pointed,Manual,Halim Ashkar
GRB220427A,SWIFT-BAT,2022-04-27<br>21:00:34 UTC,275.86 deg<br>(18h23m26.4s),-56.25 deg<br>(-56d15'00"),2022-04-27<br>22:14:39 UTC (T0 + 1.23h),2022-04-28<br>03:44:39 UTC (T0 + 6.73h),Pointed,Manual,Halim Ashkar
GRB220426B,FERMI-GBM,2022-04-26<br>07:10:36 UTC,138.44 deg<br>(09h13m45.6s),-13.8 deg<br>(-13d48'00"),2022-04-26<br>17:39:50 UTC (T0 + 10.49h),2022-04-26<br>23:09:50 UTC (T0 + 15.99h),Tiled,Manual,Halim Ashkar
GRB220412B,SWIFT-BAT,2022-04-12<br>17:06:48 UTC,320.79 deg<br>(21h23m09.6s),-0.22 deg<br>(-00d13'12"),2022-04-13<br>03:06:00 UTC (T0 + 9.99h),2022-04-13<br>04:01:00 UTC (T0 + 10.90h),Pointed,Manual,Ruslan Konno
GRB220305A,SWIFT-BAT,2022-03-05<br>16:13:08 UTC,107.58 deg<br>(07h10m19.2s),-37.71 deg<br>(-37d42'36"),2022-03-05<br>18:26:41 UTC (T0 + 2.23h),2022-03-05<br>23:44:41 UTC (T0 + 7.53h),Pointed,Manual,Zhi-Qiu Huang
GRB211227A,SWIFT-BAT,2021-12-27<br>23:32:06 UTC,132.14 deg<br>(08h48m33.6s),-2.73 deg<br>(-02d43'48"),2021-12-29<br>00:53:47 UTC (T0 + 25.36h),2021-12-29<br>02:53:47 UTC (T0 + 27.36h),Pointed,Manual,Mathieu de Bony
GRB211207A,SWIFT-BAT,2021-12-07<br>20:52:56 UTC,149.62 deg<br>(09h58m28.8s),-24.35 deg<br>(-24d21'00"),2021-12-07<br>23:42:40 UTC (T0 + 2.83h),2021-12-08<br>03:06:40 UTC (T0 + 6.23h),Pointed,Manual,Mathieu de Bony
GRB211106A,SWIFT-BAT,2021-11-06<br>04:37:31.2 UTC,343.58 deg<br>(22h54m19.2s),-53.23 deg<br>(-53d13'48"),2021-11-06<br>18:33:04 UTC (T0 + 13.93h),2021-11-06<br>21:33:04 UTC (T0 + 16.93h),Pointed,Manual,Mathieu de Bony
GRB210901A,SWIFT-BAT,2021-09-01<br>15:04:36 UTC,295.278 deg<br>(19h41m06.72s),-76.927 deg<br>(-76d55'37.2"),2021-09-01<br>17:52:09 UTC (T0 + 2.79h),2021-09-01<br>22:58:09 UTC (T0 + 7.89h),Pointed,Manual,Zhi-Qiu Huang
